"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"ViralHepatitisCareFormModel","ViralHepatitisCareFormModel","","","",0,*,"","","","","Viral Hepatitis Care Form Logical Model","Viral Hepatitis Care Form Information model","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ViralHepatitisCareFormModel.ConsultDate","ViralHepatitisCareFormModel.ConsultDate","","","",1,1,"","","","dateTime {[]} {[]}
","Consult Date (MM/DD/YYYY)","Consult Date (MM/DD/YYYY)","","","","","","","","","",,,,,"",,,,"ViralHepatitisCareFormModel.ConsultDate",1,1,"",""
"ViralHepatitisCareFormModel.PatientCode","ViralHepatitisCareFormModel.PatientCode","","","",1,1,"","","","Identifier {[]} {[]}
","Patient Code","Patient Identifier","","","","","","","","","",,,,,"",,,,"ViralHepatitisCareFormModel.PatientCode",1,1,"",""
"ViralHepatitisCareFormModel.FacilityName","ViralHepatitisCareFormModel.FacilityName","","","",1,1,"","","","Reference {[]} {[]}
","Testing Facility Name","The location where the encounter takes place.","","","","","","","","","",,,,,"",,,,"ViralHepatitisCareFormModel.FacilityName",1,1,"",""
"ViralHepatitisCareFormModel.UniqueIdentifierCode","ViralHepatitisCareFormModel.UniqueIdentifierCode","","","",1,1,"","","","id {[]} {[]}
","Unique Identifier Code for the patient","First two letters of mother's name, First two letters of father's name, birth order, and Birthdate (MM/FF/BO/MM/DD/YYYY)","","","","","","","","","",,,,,"",,,,"ViralHepatitisCareFormModel.UniqueIdentifierCode",1,1,"",""
"ViralHepatitisCareFormModel.TestedPositiveFor","ViralHepatitisCareFormModel.TestedPositiveFor","","","",0,1,"","","","BackboneElement {[]} {[]}
","If patient tested positive for Hepatitis B and/or Hepatitis C","If patient tested positive for Hepatitis B and/or Hepatitis C","","","","","","","","","",,,,,"",,,,"ViralHepatitisCareFormModel.TestedPositiveFor",0,1,"",""
"ViralHepatitisCareFormModel.TestedPositiveFor.TestedPositiveForHepatitisB","ViralHepatitisCareFormModel.TestedPositiveFor.TestedPositiveForHepatitisB","","","",0,1,"","","","BackboneElement {[]} {[]}
","If patient tested positive for Hepatitis B","If patient tested positive for Hepatitis B","","","","","","","","","",,,,,"",,,,"ViralHepatitisCareFormModel.TestedPositiveFor.TestedPositiveForHepatitisB",0,1,"",""
"ViralHepatitisCareFormModel.TestedPositiveFor.TestedPositiveForHepatitisC","ViralHepatitisCareFormModel.TestedPositiveFor.TestedPositiveForHepatitisC","","","",0,1,"","","","BackboneElement {[]} {[]}
","If patient tested positive for Hepatitis C","If patient tested positive for Hepatitis C","","","","","","","","","",,,,,"",,,,"ViralHepatitisCareFormModel.TestedPositiveFor.TestedPositiveForHepatitisC",0,1,"",""
"ViralHepatitisCareFormModel.FirstName","ViralHepatitisCareFormModel.FirstName","","","",0,*,"","","","HumanName {[]} {[]}
","First Name","First Name of the Patient","","","","","","","","","",,,,,"",,,,"ViralHepatitisCareFormModel.FirstName",0,*,"",""
"ViralHepatitisCareFormModel.MiddleName","ViralHepatitisCareFormModel.MiddleName","","","",0,*,"","","","HumanName {[]} {[]}
","Middle Name","Middle Name of the Patient","","","","","","","","","",,,,,"",,,,"ViralHepatitisCareFormModel.MiddleName",0,*,"",""
